round,team1_win_prob,team2_win_prob,team1_score,team2_score,team_round_winner,match_id,team1_label,team2_label
12,0.583308960593919,0.416691039406081,7,5,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
13,0.5152624679775096,0.48473753202249037,7,6,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
14,0.4520051037744775,0.5479948962255226,7,7,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
15,0.3930107295747063,0.6069892704252937,7,8,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
16,0.35730002667691874,0.6426999733230813,7,9,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
17,0.30476163703600245,0.6952383629639975,7,10,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
18,0.4459875320224904,0.5540124679775096,8,10,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
19,0.3847862775013191,0.6152137224986809,8,11,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
20,0.4680708653558237,0.5319291346441763,9,11,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
21,0.4077624679775096,0.5922375320224904,9,12,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
22,0.3686717704411442,0.6313282295588558,9,13,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
1,0.6530708653558237,0.3469291346441763,1,0,1,4d8f37f94f2a8fbc,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
2,0.7234115628921893,0.27658843710781067,2,0,1,4d8f37f94f2a8fbc,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
3,0.7787049566998034,0.22129504330019656,3,0,1,4d8f37f94f2a8fbc,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
4,0.8247370103601184,0.17526298963988163,4,0,1,4d8f37f94f2a8fbc,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
5,0.8642546536908147,0.13574534630918533,5,0,1,4d8f37f94f2a8fbc,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
1,0.6530708653558237,0.3469291346441763,1,0,1,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
2,0.4802624679775096,0.5197375320224904,1,1,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
3,0.3911717704411442,0.6088282295588558,1,2,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
4,0.32407282107797425,0.6759271789220258,1,3,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
5,0.46807086535582365,0.5319291346441763,2,3,1,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
6,0.5279948962255225,0.47200510377447746,3,3,1,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
7,0.4355402457552874,0.5644597542447126,3,4,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
8,0.38533843710781085,0.6146615628921892,3,5,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
9,0.3397041342092874,0.6602958657907125,3,6,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
10,0.2785963229732151,0.7214036770267849,3,7,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
11,0.22159699466083377,0.7784030053391662,3,8,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
12,0.18806311072735588,0.8119368892726442,3,9,2,79a95471652d68d2,"Ex3rcice, Graviti, Lucky, Maka, bodyy","PR, REZ, Tauson, acoR, ztr"
1,0.6530708653558237,0.3469291346441763,1,0,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
2,0.7234115628921893,0.27658843710781067,2,0,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
3,0.7787049566998034,0.22129504330019656,3,0,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
4,0.8247370103601184,0.17526298963988163,4,0,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
5,0.8642546536908147,0.13574534630918533,5,0,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
6,0.6769291346441763,0.32307086535582374,5,1,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
7,0.5831162148855886,0.4168837851144114,5,2,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
8,0.5029617099668631,0.49703829003313693,5,3,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
9,0.4338993532762454,0.5661006467237546,5,4,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
10,0.5487653098002682,0.45123469019973184,6,4,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
11,0.4775060577210992,0.5224939422789008,6,5,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
12,0.43200510377447754,0.5679948962255225,6,6,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
13,0.3912950433001965,0.6087049566998035,6,7,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
14,0.3541171563065484,0.6458828436934516,6,8,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
15,0.3003111726397176,0.6996888273602824,6,9,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
16,0.4434412357261941,0.5565587642738059,7,9,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
17,0.506065071664119,0.49393492833588104,8,9,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
18,0.5637049566998036,0.4362950433001964,9,9,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
19,0.46942913464417624,0.5305708653558238,9,10,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
20,0.5497375320224904,0.4502624679775096,10,10,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
