match_id,demo_file,map_name,date,total_rounds,team1_name,team2_name,team1_score,team2_score,winner,match_duration_seconds
48a60acadd55cd34,mouz-vs-falcons-m1-inferno,de_inferno,2025-10-25T13:09:47.328315,29,"Brollan, Jimpphat, Spinx, torzsi, xertioN","NiKo, TeSeS, kyousuke, kyxsan, m0NESY",13,16,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY",2064.0078
1968f1b1a417c858,mouz-vs-faze-m2-overpass,de_overpass,2025-10-25T13:10:46.611479,23,"Twistzz, broky, frozen, karrigan, rain","Brollan, Jimpphat, Spinx, torzsi, xertioN",10,13,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1652.1328
d617356d21149287,mouz-vs-faze-m1-ancient-p2,de_ancient,2025-10-25T13:11:07.385600,7,"Twistzz, broky, frozen, karrigan, rain","Brollan, Jimpphat, Spinx, torzsi, xertioN",3,4,"Brollan, Jimpphat, Spinx, torzsi, xertioN",455.48438
3f532ec2aa57e7e1,mouz-vs-faze-m1-ancient-p1,de_ancient,2025-10-25T13:11:32.852504,13,"Brollan, Jimpphat, Spinx, torzsi, xertioN","Twistzz, broky, frozen, karrigan, rain",9,4,"Brollan, Jimpphat, Spinx, torzsi, xertioN",839.1797
346a4e3cf4344c2b,mouz-vs-gamerlegion-m2-nuke,de_nuke,2025-10-25T13:12:06.168820,16,"PR, REZ, Tauson, hypex, ztr","Brollan, Jimpphat, Spinx, torzsi, xertioN",3,13,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1121.2656
86fce5b8b3fdb0c5,mouz-vs-gamerlegion-m1-overpass,de_overpass,2025-10-25T13:12:53.468802,22,"Brollan, Jimpphat, Spinx, torzsi, xertioN","PR, REZ, Tauson, hypex, ztr",13,9,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1512.5469
cd4ccd5c85d0ac3a,mouz-vs-gentle-mates-m2-mirage,de_mirage,2025-10-25T13:13:41.648866,24,"MartinezSa, alex , dav1g, mopoz, sausoL","Brollan, Jimpphat, Spinx, torzsi, xertioN",11,13,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1566.9609
53cd407838febe4d,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno,2025-10-25T13:14:23.334104,14,"Brollan, Jimpphat, Spinx, torzsi, xertioN","MartinezSa, Wicadia, alex , dav1g, mopoz, sausoL",10,4,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1102.4375
9e4ac89a1482b035,mouz-vs-gentle-mates-m1-inferno-p1,de_inferno,2025-10-25T13:14:29.137444,3,"Brollan, Jimpphat, Spinx, torzsi, xertioN","MartinezSa, Wicadia, alex , dav1g, mopoz, sausoL",3,0,"Brollan, Jimpphat, Spinx, torzsi, xertioN",129.25781
10c52d0da17cf5bb,mouz-vs-natus-vincere-m3-train,de_train,2025-10-25T13:14:59.478001,17,"Brollan, Jimpphat, Spinx, torzsi, xertioN","Aleksib, b1t, iM, makazze, w0nderful",13,4,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1056.2109
66f4c43fd5f403dd,mouz-vs-natus-vincere-m2-inferno,de_inferno,2025-10-25T13:15:49.901235,21,"Brollan, Jimpphat, Spinx, torzsi, xertioN","Aleksib, b1t, iM, makazze, w0nderful",13,8,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1562.2812
7943b6005514d103,mouz-vs-natus-vincere-m1-ancient,de_ancient,2025-10-25T13:16:54.135265,30,"Brollan, Jimpphat, Spinx, torzsi, xertioN","Aleksib, b1t, iM, makazze, w0nderful",14,16,"Aleksib, b1t, iM, makazze, w0nderful",2080.461
69f829b5763ce40a,natus-vincere-vs-hotu-m2-train-p2,de_train,2025-10-25T13:17:31.462695,17,"dukefissura, frontales, kade0, mizu, n0rb3r7","Aleksib, b1t, iM, makazze, w0nderful",9,8,"dukefissura, frontales, kade0, mizu, n0rb3r7",1093.2109
