match_id,player_id,player_name,team,role,kills,deaths,assists,headshot_kills,damage,utility_damage,enemies_flashed,flash_assists,kd_ratio,kda_ratio,adr,hsp,rounds_survived,survival_rate,first_kills,first_deaths,clutches_attempted,clutches_won,multi_kill_rounds,smokes_thrown,flashes_thrown,he_thrown,molotovs_thrown,avg_cash_spent_per_round,avg_equipment_value_per_round,performance_score,won_match,kills_per_round,deaths_per_round,first_kill_rate,multi_kill_rate,smokes_per_round,flashes_per_round,utility_damage_per_round,flash_assists_per_round,clutch_success_rate,survival_rate_ratio,headshot_rate,cluster
bb5775bd0b76f153,76561198045898864,chopper,"SH1R0, chopper, donk, magixx, zont1x",unknown,13,18,4,6,70.1,0,0,0,0.7222222,0.9444444,70.14286,46.153847,3,14.285714,4,2,1,1,3,32,28,5,21,2757.1428,3338.7412,157.04048,True,0.6190476190476191,0.8571428571428571,0.19047619047619047,0.14285714285714285,1.5238095238095237,1.3333333333333333,0.0,0.0,1.0,0.14285714,0.46153847,3
bb5775bd0b76f153,76561198081484775,SH1R0,"SH1R0, chopper, donk, magixx, zont1x",unknown,12,9,3,3,53.2,123,0,0,1.3333334,1.6666666,53.238094,25.0,12,57.142857,1,1,1,0,1,28,19,10,17,2445.238,6003.765,91.557144,True,0.5714285714285714,0.42857142857142855,0.047619047619047616,0.047619047619047616,1.3333333333333333,0.9047619047619048,5.857142857142857,0.0,0.0,0.57142857,0.25,1
bb5775bd0b76f153,76561198016255205,Twistzz,"NAF, NertZ, Twistzz, jks, ultimate",unknown,11,15,5,5,69.5,51,1,1,0.73333335,1.0666667,69.52381,45.454544,7,33.333332,0,2,2,0,3,25,38,14,15,2607.1428,3816.0586,79.86667,False,0.5,0.6818181818181818,0.0,0.13636363636363635,1.1363636363636365,1.7272727272727273,2.3181818181818183,0.045454545454545456,0.0,0.33333332,0.45454543999999997,4
bb5775bd0b76f153,76561198386265483,donk,"SH1R0, chopper, donk, magixx, zont1x",unknown,22,11,5,17,110.6,91,0,0,2.0,2.4545455,110.57143,77.27273,10,47.61905,5,2,0,0,6,13,21,17,23,2633.3333,4589.4297,214.19524,True,1.0476190476190477,0.5238095238095238,0.23809523809523808,0.2857142857142857,0.6190476190476191,1.0,4.333333333333333,0.0,0.0,0.4761905,0.7727273,2
a917efea15bd772d,76561198193174134,xertioN,"Brollan, Jimpphat, torzsi, xelex, xertioN",unknown,14,17,6,4,76.9,135,1,1,0.8235294,1.1764706,76.90909,28.571428,5,22.727272,1,2,3,1,4,35,23,23,40,2606.818,3671.7886,123.71515,False,0.6363636363636364,0.7727272727272727,0.045454545454545456,0.18181818181818182,1.5909090909090908,1.0454545454545454,6.136363636363637,0.045454545454545456,0.3333333333333333,0.22727271999999998,0.28571428,5
a917efea15bd772d,76561199009468655,ztr,"PR, REZ, Tauson, sl3nd, ztr",unknown,17,13,8,8,94.0,253,1,1,1.3076923,1.9230769,94.0,47.058823,9,40.909092,1,4,1,0,4,36,32,26,33,2665.9092,3778.7864,147.32727,True,0.7727272727272727,0.5909090909090909,0.045454545454545456,0.18181818181818182,1.6363636363636365,1.4545454545454546,11.5,0.045454545454545456,0.0,0.40909092,0.47058822999999994,4
a917efea15bd772d,76561198138828475,Brollan,"Brollan, Jimpphat, torzsi, xelex, xertioN",unknown,16,20,5,10,79.1,286,0,0,0.8,1.05,79.13636,62.5,2,9.090909,5,4,2,0,4,40,30,28,19,2611.3635,3162.726,110.93864,False,0.7272727272727273,0.9090909090909091,0.22727272727272727,0.18181818181818182,1.8181818181818181,1.3636363636363635,13.0,0.0,0.0,0.09090909,0.625,5
a917efea15bd772d,76561198310561479,PR,"PR, REZ, Tauson, sl3nd, ztr",unknown,17,14,1,13,79.1,57,0,0,1.2142857,1.2857143,79.13636,76.47059,8,36.363636,3,1,2,1,4,27,17,18,29,2522.7273,3987.0667,161.12955,True,0.7727272727272727,0.6363636363636364,0.13636363636363635,0.18181818181818182,1.2272727272727273,0.7727272727272727,2.590909090909091,0.0,0.5,0.36363636,0.7647059,3
a917efea15bd772d,76561198998266210,xelex,"Brollan, Jimpphat, torzsi, xelex, xertioN",unknown,12,16,2,10,43.7,178,1,1,0.75,0.875,43.727272,83.333336,6,27.272728,3,1,1,1,3,19,21,12,18,2663.6365,3256.0645,144.93182,False,0.5454545454545454,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.8636363636363636,0.9545454545454546,8.090909090909092,0.045454545454545456,1.0,0.27272728,0.83333336,3
a917efea15bd772d,76561198855375325,Jimpphat,"Brollan, Jimpphat, torzsi, xelex, xertioN",unknown,9,14,5,4,52.4,46,0,0,0.64285713,1.0,52.363636,44.444443,8,36.363636,0,1,1,0,2,16,11,12,15,2581.818,3273.4849,54.436363,False,0.4090909090909091,0.6363636363636364,0.0,0.09090909090909091,0.7272727272727273,0.5,2.090909090909091,0.0,0.0,0.36363636,0.44444443,0
a917efea15bd772d,76561198098071693,sl3nd,"PR, REZ, Tauson, sl3nd, ztr",unknown,25,12,5,7,103.0,225,0,0,2.0833333,2.5,103.0,28.0,10,45.454544,2,0,2,0,7,23,24,19,21,2606.818,4761.347,210.66818,True,1.1363636363636365,0.5454545454545454,0.09090909090909091,0.3181818181818182,1.0454545454545454,1.0909090909090908,10.227272727272727,0.0,0.0,0.45454543999999997,0.28,2
a917efea15bd772d,76561198034172415,REZ,"PR, REZ, Tauson, sl3nd, ztr",unknown,10,15,7,6,53.0,48,2,2,0.6666667,1.1333333,53.0,60.0,7,31.818182,1,3,2,0,2,34,31,16,25,2556.818,4176.65,70.65,True,0.45454545454545453,0.6818181818181818,0.045454545454545456,0.09090909090909091,1.5454545454545454,1.4090909090909092,2.1818181818181817,0.09090909090909091,0.0,0.31818182,0.6,4
